job_id,skill_name
1,Statistics
1,Machine Learning
1,MySQL
1,AWS
2,Power BI
2,SQL
2,Statistics
2,Python
2,ETL
3,MySQL
3,Power BI
3,Data Visualization
3,SQL
4,AWS
4,Machine Learning
4,Pandas
4,Tableau
4,Data Visualization
4,SQL
5,Machine Learning
5,MySQL
5,Statistics
5,AWS
5,SQL
5,ETL
5,Data Visualization
6,AWS
6,Machine Learning
6,Statistics
6,Python
6,Pandas
6,Tableau
7,SQL
7,AWS
7,Tableau
7,Statistics
7,Data Visualization
7,MySQL
8,Power BI
8,Data Visualization
8,Machine Learning
8,Pandas
8,Statistics
8,ETL
8,Tableau
9,MySQL
9,Excel
9,Statistics
9,ETL
9,SQL
9,Pandas
10,SQL
10,Machine Learning
10,Statistics
10,Python
10,ETL
10,Data Visualization
10,Power BI
11,SQL
11,MySQL
11,Power BI
11,Statistics
11,Python
11,AWS
12,Machine Learning
12,Statistics
12,Data Visualization
12,Excel
13,Machine Learning
13,Python
13,Power BI
13,Statistics
13,Data Visualization
13,SQL
14,Excel
14,Statistics
14,SQL
14,Power BI
14,AWS
14,MySQL
14,Data Visualization
15,Tableau
15,ETL
15,AWS
15,Python
15,Excel
15,Pandas
16,Tableau
16,Machine Learning
16,Data Visualization
16,SQL
17,AWS
17,Machine Learning
17,MySQL
17,Power BI
18,SQL
18,Excel
18,ETL
18,Pandas
18,AWS
18,Tableau
18,Python
19,AWS
19,ETL
19,Python
19,SQL
19,Data Visualization
19,Statistics
19,Tableau
20,Tableau
20,Power BI
20,Statistics
20,SQL
20,ETL
20,Data Visualization
21,AWS
21,Python
21,Excel
21,MySQL
21,ETL
21,Pandas
21,Statistics
22,Python
22,Pandas
22,ETL
22,AWS
22,Tableau
22,Machine Learning
23,Data Visualization
23,Pandas
23,Machine Learning
23,Excel
23,AWS
24,Pandas
24,Machine Learning
24,SQL
24,Data Visualization
24,Power BI
25,Machine Learning
25,ETL
25,Excel
25,SQL
25,AWS
25,Pandas
25,Tableau
26,Statistics
26,SQL
26,ETL
26,MySQL
26,Pandas
26,AWS
27,Excel
27,Pandas
27,MySQL
27,Tableau
27,Data Visualization
28,Tableau
28,Machine Learning
28,Python
28,Statistics
28,MySQL
28,Pandas
29,Machine Learning
29,AWS
29,Power BI
29,Pandas
29,ETL
29,Python
29,Statistics
30,SQL
30,Statistics
30,AWS
30,Machine Learning
31,Power BI
31,Excel
31,Python
31,MySQL
31,AWS
31,ETL
32,Statistics
32,Tableau
32,Machine Learning
32,Data Visualization
32,ETL
33,Excel
33,Power BI
33,Pandas
33,Python
34,Pandas
34,Machine Learning
34,AWS
34,Excel
35,ETL
35,MySQL
35,AWS
35,Python
