job_id,job_title,company_id,company_name,location,experience_level,salary_lpa,posted_date
1,Data Analyst,1,TCS,Delhi NCR,Fresher,7.6,2025-02-25
2,Data Analyst,6,Capgemini,Bangalore,0-2 Years,12.83,2025-06-20
3,Data Analyst,2,Infosys,Bangalore,0-2 Years,13.78,2025-01-23
4,Data Analyst,5,Deloitte,Kolkata,0-2 Years,12.83,2025-01-19
5,Data Analyst,7,Cognizant,Jaipur,0-2 Years,10.72,2025-12-08
6,Data Analyst,3,Wipro,Hyderabad,5+ Years,23.72,2025-03-29
7,Data Analyst,10,Tech Mahindra,Chennai,Fresher,9.4,2025-11-18
8,Data Analyst,5,Deloitte,Ahmedabad,5+ Years,23.92,2025-04-30
9,Data Analyst,1,TCS,Bangalore,Fresher,8.44,2025-05-12
10,Data Analyst,10,Tech Mahindra,Hyderabad,0-2 Years,12.65,2025-02-12
11,Data Analyst,5,Deloitte,Ahmedabad,Fresher,6.44,2025-08-01
12,Data Analyst,14,PwC,Pune,0-2 Years,10.94,2025-02-10
13,Data Analyst,3,Wipro,Delhi NCR,2-5 Years,16.29,2025-03-06
14,Data Analyst,12,Microsoft,Pune,0-2 Years,9.2,2025-08-19
15,Data Analyst,9,HCL,Jaipur,Fresher,4.93,2025-10-07
16,Data Analyst,4,Accenture,Mumbai,2-5 Years,16.83,2025-01-23
17,Data Analyst,4,Accenture,Delhi NCR,0-2 Years,9.78,2025-06-12
18,Data Analyst,15,KPMG,Jaipur,Fresher,7.38,2025-09-10
19,Data Analyst,14,PwC,Jaipur,5+ Years,21.91,2025-01-04
20,Data Analyst,6,Capgemini,Kolkata,0-2 Years,9.31,2025-08-18
21,Data Analyst,9,HCL,Delhi NCR,2-5 Years,17.76,2025-10-14
22,Data Analyst,6,Capgemini,Bangalore,5+ Years,24.73,2025-07-18
23,Data Analyst,8,IBM,Delhi NCR,2-5 Years,16.08,2025-06-26
24,Data Analyst,1,TCS,Pune,Fresher,5.79,2025-09-12
25,Data Analyst,6,Capgemini,Chennai,2-5 Years,15.85,2025-01-17
26,Data Analyst,4,Accenture,Hyderabad,2-5 Years,17.13,2025-08-02
27,Data Analyst,3,Wipro,Mumbai,Fresher,7.12,2025-09-29
28,Data Analyst,9,HCL,Hyderabad,Fresher,8.45,2025-10-13
29,Data Analyst,13,Flipkart,Ahmedabad,Fresher,6.28,2025-12-01
30,Data Analyst,4,Accenture,Bangalore,0-2 Years,12.65,2025-07-26
31,Data Analyst,1,TCS,Bangalore,5+ Years,24.28,2025-08-12
32,Data Analyst,9,HCL,Bangalore,2-5 Years,20.22,2025-08-27
33,Data Analyst,9,HCL,Mumbai,0-2 Years,12.48,2025-09-12
34,Data Analyst,3,Wipro,Hyderabad,0-2 Years,10.73,2025-10-10
